,e10,e30,e100,n10,n30,n100
VAE,95.62179565429688,91.61138153076172,89.52111053466797,90.11693572998048,87.05690002441406,85.22860717773438
"IWAE, K=10",91.31413269042969,88.6583480834961,86.90514373779297,88.62980651855469,86.17407989501953,84.68597412109375
"IWAE, K=50",90.46682739257812,87.34912872314453,86.16161346435547,89.37922668457031,86.35652160644531,85.17859649658203
"AMCVAE, K=3, fixed",100.14657592773438,89.17452239990234,87.90170288085938,92.87802124023438,86.04737854003906,85.1171875
"AMCVAE, K=3, sigmoidal",96.80427551269531,89.3226089477539,88.13414001464844,90.89973449707031,86.28080749511719,85.4063720703125
"AMCVAE, K=3, all_learnable",99.23680114746094,89.13907623291016,87.85250091552734,92.08890533447266,86.03710174560547,85.15850830078125
"AMCVAE, K=5, fixed",98.322021484375,88.91625213623047,87.7073745727539,91.84587860107422,86.02188110351562,85.1273193359375
"AMCVAE, K=5, sigmoidal",96.19913482666016,88.72355651855469,87.51000213623047,90.74561309814452,85.91499328613281,85.03716278076172
"AMCVAE, K=5, all_learnable",95.5046615600586,88.69908905029297,87.44950866699219,90.58120727539062,85.96204376220703,84.98667907714844
"LMCVAE, K=5, fixed",98.3107681274414,89.14360809326172,87.87828063964844,91.68102264404295,86.15746307373047,85.26033020019531
"LMCVAE, K=5, sigmoidal",97.60914611816406,89.20533752441406,87.92720794677734,91.59380340576172,86.20240783691406,85.2776107788086
"LMCVAE, K=5, all_learnable",97.33880615234376,89.49466705322266,88.24615478515625,91.39897918701172,86.65837860107422,85.74824523925781
"LMCVAE, K=10, fixed",97.30306243896484,88.54679107666016,87.3692855834961,91.86322021484376,86.22361755371094,85.27569580078125
"LMCVAE, K=10, sigmoidal",98.58856964111328,88.24402618408203,87.13841247558594,93.33008575439452,85.86836242675781,85.01898956298828
"LMCVAE, K=10, all_learnable",97.56098175048828,88.28568267822266,87.0540771484375,91.86597442626952,86.00536346435547,85.00582122802734
